Tl1,Src1,Dst1,Protocol1,dure1,moy1,length1,DIS1,DIO1,DAO1,dure2,moy2,length2,DIS2,DIO2,DAO2,on,tx,rx,int,x,y,rank,attack,class
7209.999899,32,99,1,0.095,0.000,0,0,0,0,0.095,0.023,2231,0,23,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
7210.030223,32,99,1,0.026,0.000,0,0,0,0,0.026,0.007,679,0,7,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
7224.381915,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
7293.318486,32,31,1,0.012,0.000,0,0,0,0,0.012,0.004,408,0,4,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
7319.725666,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
7471.755163,32,6,1,0.012,0.000,0,0,0,0,0.012,0.004,408,0,4,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
7558.44489,32,31,1,0.075,0.000,0,0,0,0,0.075,0.019,1938,0,19,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
7621.340399,32,9,1,0.104,0.000,0,0,0,0,0.104,0.026,2652,0,26,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
7791.282842,32,7,1,0.008,0.000,0,0,0,0,0.008,0.003,306,0,3,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
7928.086688,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
8074.507878,32,6,1,0.125,0.000,0,0,0,0,0.125,0.031,3162,0,31,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
8144.997411,32,31,1,0.457,0.000,0,0,0,0,0.457,0.106,10812,0,106,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
8145.322912,32,31,1,0.321,0.000,0,0,0,0,0.321,0.075,7650,0,75,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
8259.963812,32,9,1,0.033,0.000,0,0,0,0,0.033,0.009,918,0,9,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
8298.858358,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
8380.997228,32,7,1,0.066,0.000,0,0,0,0,0.066,0.017,1734,0,17,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
8381.030431,32,7,1,0.029,0.000,0,0,0,0,0.029,0.008,816,0,8,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
8428.616291,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
8481.163165,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
8627.281836,32,7,1,0.037,0.000,0,0,0,0,0.037,0.010,1020,0,10,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
8723.156347,32,7,1,0.029,0.000,0,0,0,0,0.029,0.008,816,0,8,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
8791.819645,32,31,1,0.012,0.000,0,0,0,0,0.012,0.004,408,0,4,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
8908.256414,32,6,1,0.100,0.000,0,0,0,0,0.100,0.025,2550,0,25,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9047.590277,32,9,1,0.058,0.000,0,0,0,0,0.058,0.015,1530,0,15,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9084.997593,32,7,1,0.030,0.000,0,0,0,0,0.030,0.010,760,0,0,10,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9085.233358,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9089.772452,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9090.225718,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9093.281346,32,7,1,0.090,0.000,0,0,0,0,0.090,0.028,2128,0,0,28,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9095.995981,32,99,1,0.771,0.000,0,0,0,0,0.771,0.059,5723,0,59,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9101.475516,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9115.577038,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9152.694235,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9180.380987,32,6,1,0.012,0.000,0,0,0,0,0.012,0.004,408,0,4,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9204.256785,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
